feature,importance
log_sire_median_price_36m,1376.4826794397086
log_vendor_median_price_36m,1358.2572246547788
vendor_sold_count_36m,1150.0244752294384
log_sire_median_price_12m,1094.024209804833
log_dam_progeny_median_price,1046.013390392065
vendor_total_offered_36m,991.0695727572311
sire_sold_count_36m,933.1321106213145
vendor_clearance_rate_36m,895.5529727563262
sire_total_offered_36m,865.6300162179396
sire_clearance_rate_36m,808.4989620554261
log_session_median_price,749.2527349442244
sire_momentum,709.6436291513965
sire_total_offered_12m,610.3609742484987
sire_sold_count_12m,594.7498864866793
sex_encoded,526.1504962146282
sire_clearance_rate_12m,402.40514996740967
dam_progeny_total_offered_count,194.18881333991885
day_number,191.8144172602333
book_number,191.37214612960815
vendor_volume_bucket_encoded,155.76168790832162
dam_progeny_sold_count,123.55857495954842
sire_sample_flag_36m,4.408691987395287
vendor_first_seen_flag,1.3066810369491577
dam_first_foal_flag,0.6209359765052795
sale_company_encoded,0.0
