lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_raw_price,mv_confidence_tier,mv_model_version,mv_generated_at
507408,1722597,2005,1,0,Filly,Incys26-1,Dundeel,70000.0,1.3745652265531365,0.9731156318148856,2.6214401974729555,96200.0,68100.0,183500.0,96200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507409,1751683,2005,2,0,Colt,INGS25-66,Artorius,70000.0,1.7134464615037157,1.2557521756849843,2.5309104261951103,119900.0,87900.0,177200.0,119900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507410,1722598,2005,3,0,Colt,Incys26-3,Written By,70000.0,0.6184304115321263,0.35970346464627745,1.4818998340947187,43300.0,25200.0,103700.0,43300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507411,1722599,2005,4,0,Colt,Incys26-4,Super Seth,70000.0,1.3516633717387485,0.982627902896965,2.505910442129045,94600.0,68800.0,175400.0,94600.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507412,1722600,2005,5,0,Filly,Incys26-5,Hitotsu,70000.0,1.262361879849918,0.6855611341877796,2.146953840868843,88400.0,48000.0,150300.0,88400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507413,1752817,2005,6,0,Colt,INAUW25-387,Captivant,70000.0,0.5381194577000209,0.3324842670392904,0.8775264587746132,37700.0,23300.0,61400.0,37700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507414,1722602,2005,7,0,Colt,Incys26-7,Admire Mars,70000.0,1.2903830849806452,0.8112254193434549,1.2211191652955804,90300.0,56800.0,90300.0,90300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507415,1723290,2005,8,0,Filly,Incys26-8,Yes Yes Yes,70000.0,0.6754319394565922,0.33497431549909684,1.268013248275746,47300.0,23400.0,88800.0,47300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507416,1722603,2005,9,0,Colt,Incys26-9,North Pacific,70000.0,0.9280764407312788,0.4886479216953279,1.2197865345964602,65000.0,34200.0,85400.0,65000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507417,1722604,2005,10,0,Colt,Incys26-10,Brutal,70000.0,0.23427386325085822,0.12254225640708886,0.7582478532172005,16400.0,8600.0,53100.0,16400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507418,1722605,2005,11,0,Colt,Incys26-11,Profondo,70000.0,1.0458239016213502,0.598197160975287,1.7583285828755852,73200.0,41900.0,123100.0,73200.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507419,1722606,2005,12,0,Colt,Incys26-12,Anamoe,70000.0,1.802267994669338,0.9332901448647496,3.631752638767857,126200.0,65300.0,254200.0,126200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507420,1722607,2005,13,0,Filly,Incys26-13,Dundeel,70000.0,1.5567972932979801,0.9450916677953622,2.810406250058267,109000.0,66200.0,196700.0,109000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507421,1722608,2005,14,0,Colt,Incys26-14,Supido,70000.0,0.6886788157967046,0.44894394271321636,1.2423995174667188,48200.0,31400.0,87000.0,48200.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507422,1722609,2005,15,0,Colt,Incys26-15,Sword Of State,70000.0,1.7976234797190875,0.7075732070636335,2.9058783129714563,125800.0,49500.0,203400.0,125800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507423,1751692,2005,16,0,Filly,INGS25-76,Pinatubo,70000.0,1.6746758058040037,1.1306926533633208,2.8779790999485124,117200.0,79100.0,201500.0,117200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507424,1752828,2005,17,0,Colt,INAUW25-398,Farnan,70000.0,0.6968664452229085,0.44913906804511294,1.5805805909595125,48800.0,31400.0,110600.0,48800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507425,1722612,2005,18,0,Colt,Incys26-18,Capitalist,70000.0,0.9825382658746352,0.6960748099695601,1.9284721520171677,68800.0,48700.0,135000.0,68800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507426,1751969,2005,19,0,Colt,MMGCNW25-14,Castelvecchio,70000.0,0.9427101183039653,0.5937860311285359,2.137100507178995,66000.0,41600.0,149600.0,66000.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507427,1722614,2005,20,0,Colt,Incys26-20,Starspangledbanner,70000.0,1.0403952045088114,0.7970320257208827,2.3671433739357166,72800.0,55800.0,165700.0,72800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507428,1752829,2005,21,0,Colt,INAUW25-399,Pierro,70000.0,0.9574419896450098,0.7884839429551684,2.1190687445667087,67000.0,55200.0,148300.0,67000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507429,1722616,2005,22,0,Colt,Incys26-22,Justify,70000.0,2.1848530672198887,1.1696031803084614,4.555114251102368,152900.0,81900.0,318900.0,152900.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507430,1722617,2005,23,0,Filly,Incys26-23,Brutal,70000.0,0.33416964096645424,0.176998313691346,0.8113190633557961,23400.0,12400.0,56800.0,23400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507431,1723464,2005,24,0,Colt,Incys26-24,Hellbent,70000.0,1.3753425825745342,0.6325095274285862,2.075443872303475,96300.0,44300.0,145300.0,96300.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507432,1722618,2005,25,0,Filly,Incys26-25,Maurice,70000.0,1.2220682782124237,0.763205306696854,2.287469184654358,85500.0,53400.0,160100.0,85500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507433,1722619,2005,26,0,Colt,Incys26-26,D'argento,70000.0,0.5910600319096315,0.35356206459310785,1.267196387938808,41400.0,24700.0,88700.0,41400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507434,1751973,2005,27,0,Colt,MMGCNW25-18,Star Turn,70000.0,0.803422376182596,0.5943463983817048,1.502674371929109,56200.0,41600.0,105200.0,56200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507435,1722620,2005,28,0,Colt,Incys26-28,Harry Angel,70000.0,1.4440789658654036,0.7996380407879492,2.5587520456032684,101100.0,56000.0,179100.0,101100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507436,1722621,2005,29,0,Colt,Incys26-29,Russian Revolution,70000.0,0.35792549448179606,0.35761483117709864,0.78072513198741,25100.0,25000.0,54700.0,25100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507437,1722622,2005,30,0,Colt,Incys26-30,Grunt,70000.0,0.9281356747602679,0.7280821385375731,1.36631384903837,65000.0,51000.0,95600.0,65000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507438,1722623,2005,31,0,Filly,Incys26-31,All Too Hard,70000.0,1.2436416093646452,0.670064289555044,2.1042314001184543,87100.0,46900.0,147300.0,87100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507439,1722624,2005,32,0,Filly,Incys26-32,Ardrossan,70000.0,2.26364410539207,0.8467423080274067,3.660901941197535,158500.0,59300.0,256300.0,158500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507440,1751697,2005,33,0,Colt,INGS25-81,Brutal,70000.0,0.382797880705086,0.1557743248408924,1.2034341180258799,26800.0,10900.0,84200.0,26800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507441,1723292,2005,34,0,Colt,Incys26-34,Star Turn,70000.0,0.5642927265444176,0.38830370186270347,1.3346405024749355,39500.0,27200.0,93400.0,39500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507442,1722626,2005,35,0,Colt,Incys26-35,In The Congo,70000.0,1.3268488068812103,0.9744874682744564,2.2215799021186213,92900.0,68200.0,155500.0,92900.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507443,1722627,2005,36,0,Colt,Incys26-36,St Mark's Basilica,70000.0,1.306061518881737,1.0750028165330254,1.8813852193778395,91400.0,75300.0,131700.0,91400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507444,1722628,2005,37,0,Colt,Incys26-37,Starspangledbanner,70000.0,0.7158742077549242,0.5434691464973125,2.048848096101299,50100.0,38000.0,143400.0,50100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507445,1722629,2005,38,0,Filly,Incys26-38,Castelvecchio,70000.0,0.9662003253228766,0.6079673383838787,1.8655400089156682,67600.0,42600.0,130600.0,67600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507446,1751975,2005,39,0,Colt,MMGCNW25-21,Portland Sky,70000.0,0.9110273134560817,0.42648484352768146,1.4291946575537362,63800.0,29900.0,100000.0,63800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507447,1752837,2005,40,0,Filly,INAUW25-409,Too Darn Hot,70000.0,2.591391106129177,1.6836188337763058,3.981766921502641,181400.0,117900.0,278700.0,181400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507448,1722632,2005,41,0,Colt,Incys26-41,D'argento,70000.0,0.5742543327054672,0.31558308724504486,1.1413103099231592,40200.0,22100.0,79900.0,40200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507449,1722633,2005,42,0,Filly,Incys26-42,Wootton Bassett,70000.0,1.420709361586121,1.0625246212322257,2.723134683997219,99400.0,74400.0,190600.0,99400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507450,1722634,2005,43,0,Colt,Incys26-43,Pierata,70000.0,0.8301921414006677,0.34441551608290516,1.6806115412631095,58100.0,24100.0,117600.0,58100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507451,1722635,2005,44,0,Colt,Incys26-44,Capitalist,70000.0,1.2219700359068717,0.8116434762089968,2.365667448781066,85500.0,56800.0,165600.0,85500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507452,1722636,2005,45,0,Filly,Incys26-45,Jacquinot,70000.0,1.9797391432847034,0.8564314133760283,3.317565078511691,138600.0,60000.0,232200.0,138600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507453,1722637,2005,46,0,Colt,Incys26-46,Trapeze Artist,70000.0,0.5343799367800622,0.2955556708249826,1.2265175845960492,37400.0,20700.0,85900.0,37400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507454,1751978,2005,47,0,Filly,MMGCNW25-24,Capitalist,70000.0,1.0171005570035248,0.4793775173122818,2.1803254896785007,71200.0,33600.0,152600.0,71200.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507455,1722639,2005,48,0,Filly,Incys26-48,Diatonic,70000.0,2.169880935829055,1.2730874632775555,2.425971703584784,151900.0,89100.0,169800.0,151900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
