lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,sale_company,sale_year,day_number,session_median_price,sire_sold_count_36m,sire_total_offered_36m,sire_clearance_rate_36m,sire_median_price_36m,sire_sold_count_12m,sire_total_offered_12m,sire_clearance_rate_12m,sire_median_price_12m,sire_momentum,sire_sample_flag_36m,dam_progeny_sold_count,dam_progeny_total_offered_count,dam_progeny_median_price,dam_first_foal_flag,vendor_sold_count_36m,vendor_total_offered_36m,vendor_clearance_rate_36m,vendor_median_price_36m,vendor_volume_bucket,vendor_first_seen_flag
507408,1722597,2005,1,0,Filly,Incys26-1,Dundeel,Inglis,2026,1,70000.00,154,190,81.1,115000.00,38,47,80.9,190000.00,75000.00,1,1,1,160000.00,0,419,455,92.1,200000.00,Large,0
507409,1751683,2005,2,0,Colt,INGS25-66,Artorius,Inglis,2026,1,70000.00,7,11,63.6,170000.00,7,11,63.6,170000.00,0.00,1,6,6,147500.00,0,2,4,50.0,95000.00,Small,0
507410,1722598,2005,3,0,Colt,Incys26-3,Written By,Inglis,2026,1,70000.00,146,158,92.4,50000.00,38,44,86.4,80000.00,30000.00,1,4,5,72500.00,0,558,635,87.9,80000.00,Large,0
507411,1722599,2005,4,0,Colt,Incys26-4,Super Seth,Inglis,2026,1,70000.00,24,24,100.0,175000.00,6,6,100.0,185000.00,10000.00,1,1,1,145000.00,0,0,0,NULL,NULL,New,1
507412,1722600,2005,5,0,Filly,Incys26-5,Hitotsu,Inglis,2026,1,70000.00,11,14,78.6,150000.00,11,14,78.6,150000.00,0.00,1,3,3,60000.00,0,419,455,92.1,200000.00,Large,0
507413,1752817,2005,6,0,Colt,INAUW25-387,Captivant,Inglis,2026,1,70000.00,38,49,77.6,37500.00,29,35,82.9,40000.00,2500.00,1,1,2,15000.00,0,2,4,50.0,95000.00,Small,0
507414,1722602,2005,7,0,Colt,Incys26-7,Admire Mars,Inglis,2026,1,70000.00,45,49,91.8,60000.00,13,14,92.9,30000.00,-30000.00,1,5,7,80000.00,0,116,141,82.3,41250.00,Large,0
507415,1723290,2005,8,0,Filly,Incys26-8,Yes Yes Yes,Inglis,2026,1,70000.00,103,118,87.3,36000.00,23,25,92.0,20000.00,-16000.00,1,1,1,250000.00,0,83,96,86.5,40000.00,Large,0
507416,1722603,2005,9,0,Colt,Incys26-9,North Pacific,Inglis,2026,1,70000.00,98,111,88.3,40000.00,25,32,78.1,30000.00,-10000.00,1,1,1,40000.00,0,116,141,82.3,41250.00,Large,0
507417,1722604,2005,10,0,Colt,Incys26-10,Brutal,Inglis,2026,1,70000.00,121,138,87.7,35000.00,30,36,83.3,22500.00,-12500.00,1,4,4,30000.00,0,64,73,87.7,60000.00,Large,0
