lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,sale_company,sale_year,day_number,session_median_price,sire_sold_count_36m,sire_total_offered_36m,sire_clearance_rate_36m,sire_median_price_36m,sire_sold_count_12m,sire_total_offered_12m,sire_clearance_rate_12m,sire_median_price_12m,sire_momentum,sire_sample_flag_36m,dam_progeny_sold_count,dam_progeny_total_offered_count,dam_progeny_median_price,dam_first_foal_flag,vendor_sold_count_36m,vendor_total_offered_36m,vendor_clearance_rate_36m,vendor_median_price_36m,vendor_volume_bucket,vendor_first_seen_flag
540900,1782179,2096,849,1,Colt,NZBKSS26-849,Noverre,New Zealand Bloodstock,2026,1,10000.00,31,35,88.6,50000.00,15,18,83.3,32500.00,-17500.00,0,0,0,NULL,1,0,0,NULL,NULL,new,1
540901,1766958,2096,850,1,Filly,NZBNWG25-37,Santos,New Zealand Bloodstock,2026,1,10000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,3,3,20000.00,0,14,14,100.0,65000.00,mid,0
540904,1782180,2096,851,1,Colt,NZBKSS26-851,Embellish,New Zealand Bloodstock,2026,1,10000.00,44,52,84.6,21000.00,8,12,66.7,11000.00,-10000.00,0,0,0,NULL,1,33,38,86.8,37500.00,mid,0
540905,1782181,2096,852,1,Colt,NZBKSS26-852,Preferment,New Zealand Bloodstock,2026,1,10000.00,21,23,91.3,7500.00,5,5,100.0,7000.00,-500.00,0,2,2,36500.00,0,68,78,87.2,27500.00,high,0
540906,1782182,2096,853,1,Filly,NZBKSS26-853,Armory,New Zealand Bloodstock,2026,1,10000.00,23,30,76.7,27500.00,15,21,71.4,11500.00,-16000.00,0,4,4,73750.00,0,65,78,83.3,50000.00,high,0
540907,1782183,2096,854,1,Colt,NZBKSS26-854,Tarzino,New Zealand Bloodstock,2026,1,10000.00,65,77,84.4,45000.00,29,32,90.6,16000.00,-29000.00,0,0,0,NULL,1,200,230,87.0,45000.00,high,0
540908,1782184,2096,855,1,Filly,NZBKSS26-855,Ace High,New Zealand Bloodstock,2026,1,10000.00,53,64,82.8,35000.00,12,18,66.7,20000.00,-15000.00,0,0,0,NULL,1,105,126,83.3,70000.00,high,0
540909,1782185,2096,856,1,Filly,NZBKSS26-856,Noverre,New Zealand Bloodstock,2026,1,10000.00,31,35,88.6,50000.00,15,18,83.3,32500.00,-17500.00,0,1,1,6000.00,0,51,53,96.2,27500.00,high,0
540910,1782186,2096,857,1,Colt,NZBKSS26-857,Ardrossan,New Zealand Bloodstock,2026,1,10000.00,64,72,88.9,82500.00,12,18,66.7,28750.00,-53750.00,0,0,1,NULL,1,33,34,97.1,80000.00,mid,0
540912,1766965,2096,858,1,Colt,NZBNWG25-44,Almanzor,New Zealand Bloodstock,2026,1,10000.00,148,161,91.9,100000.00,4,6,66.7,14250.00,-85750.00,0,3,3,80000.00,0,0,0,NULL,NULL,new,1
540913,1782187,2096,859,1,Colt,NZBKSS26-859,Ribchester,New Zealand Bloodstock,2026,1,10000.00,51,56,91.1,42000.00,7,10,70.0,20000.00,-22000.00,0,0,0,NULL,1,3,4,75.0,32500.00,low,0
540914,1782188,2096,860,1,Colt,NZBKSS26-860,Banquo,New Zealand Bloodstock,2026,1,10000.00,6,7,85.7,35000.00,0,1,0.0,NULL,NULL,1,2,2,33000.00,0,14,15,93.3,30000.00,mid,0
540915,1766970,2096,861,1,Colt,NZBNWG25-50,Profondo,New Zealand Bloodstock,2026,1,10000.00,0,0,NULL,NULL,0,0,NULL,NULL,NULL,1,1,2,40000.00,0,33,38,86.8,37500.00,mid,0
540916,1782189,2096,862,1,Colt,NZBKSS26-862,The Bold One,New Zealand Bloodstock,2026,1,10000.00,5,5,100.0,15000.00,3,3,100.0,9000.00,-6000.00,1,0,0,NULL,1,41,44,93.2,30000.00,mid,0
540917,1782190,2096,863,1,Colt,NZBKSS26-863,Sword Of State,New Zealand Bloodstock,2026,1,10000.00,33,38,86.8,100000.00,13,16,81.3,35000.00,-65000.00,0,3,3,24000.00,0,105,126,83.3,70000.00,high,0
